iter	Passed	Remaining
0	1	115
1	2	129
2	3	118
3	4	107
4	5	105
5	6	101
6	7	100
7	8	98
8	9	97
9	10	96
10	11	94
11	12	93
12	13	92
13	14	91
14	16	90
15	17	89
16	18	89
17	19	89
18	20	88
19	21	87
20	23	86
21	24	85
22	25	84
23	26	84
24	27	82
25	28	81
26	29	80
27	30	79
28	32	78
29	33	77
30	34	75
31	35	74
32	36	73
33	37	72
34	38	71
35	39	69
36	40	68
37	41	67
38	42	66
39	43	65
40	44	63
41	44	61
42	45	60
43	46	59
44	47	58
45	48	57
46	49	56
47	50	54
48	51	53
49	52	52
50	53	51
51	54	50
52	55	49
53	56	48
54	57	47
55	58	45
56	59	44
57	60	43
58	61	42
59	62	41
60	63	40
61	64	39
62	65	38
63	66	37
64	67	36
65	68	35
66	69	34
67	70	33
68	71	32
69	72	31
70	73	30
71	74	28
72	75	27
73	76	26
74	77	25
75	78	24
76	80	23
77	81	22
78	82	21
79	83	20
80	84	19
81	85	18
82	86	17
83	87	16
84	88	15
85	89	14
86	90	13
87	91	12
88	92	11
89	93	10
90	94	9
91	95	8
92	96	7
93	97	6
94	98	5
95	99	4
96	100	3
97	101	2
98	102	1
99	103	0
